repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
lsf,80,Email Log,bryantal,User,closed,2020-01-17 22:18:14+00:00,2020-01-22T21:33:11Z,2020-01-22 21:33:11+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/80,4.968715277777778
lsf,81,Implementing a non-admin (Home page) view,bryantal,User,closed,2020-01-27 15:19:14+00:00,2020-05-19T17:29:58Z,2020-05-19 17:29:58+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/81,113.09078703703703
lsf,82,Manage Overloads Emails,bryantal,User,closed,2020-01-27 15:39:21+00:00,2020-05-21T17:26:12Z,2020-05-21 17:26:12+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/82,115.0742013888889
lsf,83,Change default number of entries on the Pending Forms table,bryantal,User,closed,2020-01-31 18:45:54+00:00,2020-02-04T14:16:42Z,2020-02-04 14:16:43+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/83,3.8130671296296295
lsf,84,Labor Status Form: Add 12 to the Hours Per Week Drop-Down,bryantal,User,closed,2020-01-31 18:51:45+00:00,2020-02-05T16:32:19Z,2020-02-05 16:32:19+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/84,4.903171296296296
lsf,85,Modify LSF - Add Hours,bryantal,User,closed,2020-01-31 18:55:51+00:00,2025-09-11T14:32:18Z,2025-09-11 14:32:18+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/85,2049.8169791666664
lsf,86,Change labor office note to a log view,bryantal,User,closed,2020-01-31 18:59:54+00:00,2020-03-18T19:00:31Z,2020-03-18 19:00:31+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/86,47.00042824074074
lsf,87,Labor Status Form: Bold or Emphasize phrase in Overload Modal,bryantal,User,closed,2020-01-31 19:03:25+00:00,2020-02-04T14:24:43Z,2020-02-04 14:24:43+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/87,3.8064583333333335
lsf,88,Labor Status Form Adjustment Interface,bryantal,User,closed,2020-01-31 19:06:13+00:00,2020-04-07T03:33:18Z,2020-04-07 03:33:18+00:00,5,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/88,66.35214120370371
lsf,89,Standardize notes icon across application,bryantal,User,closed,2020-01-31 19:09:38+00:00,2020-02-04T14:13:34Z,2020-02-04 14:13:34+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/89,3.794398148148148
lsf,90,Admin Pending Forms Denied Reason,bryantal,User,closed,2020-01-31 19:10:06+00:00,2020-05-19T17:14:59Z,2020-05-19 17:14:59+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/90,108.92005787037037
lsf,91,"Labor Status Form: No Form Refresh for Position, Job Type, and Hours per Week",bryantal,User,closed,2020-01-31 19:15:07+00:00,2020-02-25T21:56:08Z,2020-02-25 21:56:08+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/91,25.111817129629628
lsf,92,Supervisor Portal - No Inter-Departmental History Allowed,bryantal,User,closed,2020-01-31 19:16:07+00:00,2020-04-07T04:33:09Z,2020-04-07 04:33:09+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/92,66.3868287037037
lsf,93,Labor Status Form- Persistent Table,bryantal,User,closed,2020-01-31 19:22:00+00:00,2020-03-18T18:26:19Z,2020-03-18 18:26:19+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/93,46.96133101851852
lsf,94,Remove the autofill for release date in Labor Release Forms,bryantal,User,closed,2020-01-31 19:23:10+00:00,2020-04-13T19:19:47Z,2020-04-13 19:19:47+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/94,72.99765046296297
lsf,95,My Department view changes for Supervisor,bryantal,User,closed,2020-01-31 19:36:35+00:00,2020-06-09T20:15:38Z,2020-06-09 20:15:38+00:00,6,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/95,130.02711805555555
lsf,96,Labor Status Form:  First Semester Students,bryantal,User,closed,2020-01-31 19:38:51+00:00,2020-03-18T18:28:54Z,2020-03-18 18:28:54+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/96,46.95142361111111
lsf,97,Logo,bryantal,User,closed,2020-01-31 19:47:14+00:00,2020-05-19T17:30:44Z,2020-05-19 17:30:43+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/97,108.90519675925925
lsf,98,Financial Aid Approved for Specific Term during AY,bryantal,User,closed,2020-01-31 20:01:11+00:00,2020-05-19T16:03:53Z,2020-05-19 16:03:53+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/98,108.83520833333333
lsf,99,Add summer term requirements modal on submission for a summer contract,bryantal,User,closed,2020-01-31 20:01:36+00:00,2020-03-18T18:58:45Z,2020-03-18 18:58:45+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/99,46.956354166666664
lsf,100,Labor Status Form: Term Cutoff Date for Primary Submissions,bryantal,User,closed,2020-01-31 20:02:59+00:00,2020-05-07T15:55:05Z,2020-05-07 15:55:05+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/100,96.82784722222222
lsf,101,Labor Status Form: Warn Break Term Supervisors,bryantal,User,closed,2020-01-31 20:16:39+00:00,2020-03-19T18:14:18Z,2020-03-19 18:14:18+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/101,47.915034722222224
lsf,102,Labor Status Form Controller: userInsert() refactoring,bryantal,User,closed,2020-02-17 16:37:57+00:00,2020-05-14T20:35:45Z,2020-05-14 20:35:45+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/102,87.16513888888889
lsf,103,"/LaborStatusForm locks ""Supervisor"" and ""Department""",bryantal,User,closed,2020-02-18 19:29:34+00:00,2020-02-25T21:53:55Z,2020-02-25 21:53:55+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/103,7.100243055555556
lsf,104,Only one flash at a time,bryantal,User,closed,2020-02-18 19:49:31+00:00,2020-05-19T17:24:48Z,2020-05-19 17:24:48+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/104,90.89950231481481
lsf,105,Editing Fields out of order in LSF will add Student w/o Supervisor or Position,bryantal,User,closed,2020-02-25 19:12:02+00:00,2020-05-07T12:38:40Z,2020-05-07 12:38:40+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/105,71.7268287037037
lsf,106,Term Management: Datepicker is broken,bryantal,User,closed,2020-02-25 21:46:46+00:00,2020-05-19T17:21:08Z,2020-05-19 17:21:08+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/106,83.8155324074074
lsf,107,Labor Status Form Review Button Refreshes the Page,bryantal,User,closed,2020-03-03 14:08:39+00:00,2020-03-18T18:54:04Z,2020-03-18 18:54:04+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/107,15.198206018518519
lsf,108,Fill supervisor in modified forms ignores errors,bryantal,User,closed,2020-03-03 14:31:35+00:00,2020-05-21T17:30:56Z,2020-05-21 17:30:56+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/108,79.12454861111111
lsf,109,Adjustment Form Creation,bryantal,User,closed,2020-03-11 18:22:20+00:00,2020-04-07T03:32:07Z,2020-04-07 03:32:07+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/109,26.381793981481483
lsf,110,Special Terms break cutoff date doesn't allow user to submit on term change,bryantal,User,closed,2020-03-18 20:32:53+00:00,2020-04-13T19:35:54Z,2020-04-13 19:35:54+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/110,25.96042824074074
lsf,111,Break Term Cutoff Date does not check current date,bryantal,User,closed,2020-03-18 21:19:58+00:00,2020-04-03T18:06:53Z,2020-04-03 18:06:53+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/111,15.865914351851853
lsf,112,Terms behavior should be controlled by the database,bryantal,User,closed,2020-04-01 18:27:38+00:00,2020-06-30T12:41:29Z,2020-06-30 12:41:29+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/112,89.75961805555555
lsf,113,Admin Notes Log View Refactor,bryantal,User,closed,2020-05-04 14:23:11+00:00,2020-05-11T16:00:15Z,2020-05-11 16:00:15+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/113,7.067407407407408
lsf,114,Labor Status Forms does not recognize denial,bryantal,User,closed,2020-05-04 14:32:40+00:00,2020-05-11T19:24:42Z,2020-05-11 19:24:42+00:00,3,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/114,7.202800925925926
lsf,115,Email Templates Duplicates,bryantal,User,closed,2020-05-04 18:28:17+00:00,2020-05-19T17:33:57Z,2020-05-19 17:33:57+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/115,14.962268518518519
lsf,116,Manage Administrator: Select User Drop down,bryantal,User,closed,2020-05-04 20:31:08+00:00,2020-05-19T17:38:29Z,2020-05-19 17:38:29+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/116,14.880104166666667
