repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
cas,196,Room Conflicts,bryantal,User,closed,2017-11-27 19:57:23+00:00,2017-11-29T13:55:28Z,2017-11-29 13:55:28+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/196,1.7486689814814815
cas,197,Import Courses UI:,bryantal,User,closed,2017-11-30 14:21:28+00:00,2017-12-05T18:40:20Z,2017-12-05 18:40:20+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/197,5.179768518518519
cas,198,Sequence UI,bryantal,User,closed,2017-11-30 14:25:03+00:00,2018-01-24T16:00:46Z,2018-01-24 16:00:46+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/198,55.06646990740741
cas,199,Courses Table,bryantal,User,closed,2017-11-30 14:51:24+00:00,2017-12-05T14:49:06Z,2017-12-05 14:49:06+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/199,4.998402777777778
cas,200,Special Topics: Submitted Form,bryantal,User,closed,2017-11-30 15:36:55+00:00,2017-12-04T22:13:16Z,2017-12-04 22:13:16+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/200,4.275243055555555
cas,201,Admin Special Topics View,bryantal,User,closed,2017-11-30 16:13:17+00:00,2017-12-01T15:05:15Z,2017-12-01 15:05:15+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/201,0.9527546296296296
cas,203,Admin Special Topics Approved,bryantal,User,closed,2017-11-30 16:20:59+00:00,2017-12-05T18:32:13Z,2017-12-05 18:32:13+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/203,5.09113425925926
cas,204,Special Topics Denied,bryantal,User,closed,2017-11-30 16:24:53+00:00,2017-12-04T22:12:31Z,2017-12-04 22:12:31+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/204,4.241412037037037
cas,205,Special Topics Approved,bryantal,User,closed,2017-11-30 16:26:16+00:00,2017-12-04T22:14:56Z,2017-12-04 22:14:56+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/205,4.24212962962963
cas,206,Change Tracker,bryantal,User,closed,2017-11-30 16:32:02+00:00,2017-12-04T22:13:49Z,2017-12-04 22:13:49+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/206,4.237349537037037
cas,207,Ajax Special Topics,bryantal,User,closed,2017-11-30 16:32:26+00:00,2018-01-11T14:50:37Z,2018-01-11 14:50:37+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/207,41.92929398148148
cas,209,Room Conflicts (Crosslisted),bryantal,User,closed,2017-11-30 18:43:45+00:00,2018-01-24T15:55:22Z,2018-01-24 15:55:22+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/209,54.88306712962963
cas,210,Room Conflicts (Modal Close Button),bryantal,User,closed,2017-11-30 18:45:01+00:00,2017-12-05T13:25:23Z,2017-12-05 13:25:23+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/210,4.778032407407407
cas,211,Room Conflicts (UI),bryantal,User,closed,2017-11-30 18:46:33+00:00,2018-06-12T20:52:09Z,2018-06-12 20:52:09+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/211,194.0872222222222
cas,212,Contributors (Frontend),bryantal,User,closed,2017-11-30 18:48:53+00:00,2018-06-12T15:23:02Z,2018-06-12 15:23:02+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/212,193.8570486111111
cas,213,Course Deadlines (UI),bryantal,User,closed,2017-11-30 18:52:05+00:00,2018-07-03T15:08:35Z,2018-07-03 15:08:35+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/213,214.84479166666668
cas,214,Add Course,bryantal,User,closed,2017-11-30 18:55:17+00:00,2018-06-13T14:29:01Z,2018-06-13 14:29:01+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/214,194.8150925925926
cas,215,CrossListed (Incorrect Wording),bryantal,User,closed,2017-11-30 18:58:48+00:00,2017-12-07T18:13:09Z,2017-12-07 18:13:09+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/215,6.968298611111111
cas,216,Excel Downloads (sections),bryantal,User,closed,2017-11-30 18:59:35+00:00,2017-12-04T22:15:20Z,2017-12-04 22:15:20+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/216,4.1359375
cas,217,Term Creation (Mispelling),bryantal,User,closed,2017-11-30 19:02:45+00:00,2017-12-07T18:16:13Z,2017-12-07 18:16:13+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/217,6.967685185185185
cas,218,CrossListed (Future Work),bryantal,User,closed,2017-11-30 19:04:18+00:00,2018-10-02T17:34:20Z,2018-10-02 17:34:21+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/218,305.9375347222222
cas,219,Change Tracker (Verfied Color),bryantal,User,closed,2017-11-30 19:05:59+00:00,2018-02-19T17:57:50Z,2018-02-19 17:57:50+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/219,80.95267361111111
cas,220,Term Management (tracked),bryantal,User,closed,2017-11-30 19:09:07+00:00,2017-12-07T18:18:43Z,2017-12-05 15:06:52+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/220,4.831770833333334
cas,221,Manage Chairs Interface (Future Work),bryantal,User,closed,2017-11-30 19:10:59+00:00,2018-09-04T20:12:15Z,2018-09-04 20:12:16+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/221,278.0425578703704
cas,222,Course Capacity (Max),bryantal,User,closed,2017-11-30 19:15:32+00:00,2018-01-24T15:49:37Z,2018-01-24 15:49:37+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/222,54.857002314814814
cas,224,Special Topics: (Change Term),bryantal,User,closed,2017-12-06 18:26:01+00:00,2018-01-02T15:13:48Z,2018-01-02 15:13:48+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/224,26.866516203703704
cas,225,CrossListed: (Downloads),bryantal,User,closed,2017-12-06 18:40:41+00:00,2018-01-02T15:20:38Z,2018-01-02 15:20:38+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/225,26.86107638888889
cas,226,Special Topics: (Downloads),bryantal,User,closed,2017-12-06 18:42:28+00:00,2018-02-28T14:45:26Z,2018-02-28 14:45:26+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/226,83.83539351851852
cas,227,Sequence: (Rename),bryantal,User,closed,2017-12-06 18:44:08+00:00,2018-01-11T14:40:19Z,2018-01-11 14:40:19+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/227,35.83068287037037
cas,230,Special Topics: (Perspective Wording),bryantal,User,closed,2017-12-06 18:49:45+00:00,2017-12-08T14:32:04Z,2017-12-08 14:32:04+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/230,1.8210532407407407
cas,231,Special Topics: (Sent to Dean),bryantal,User,closed,2017-12-06 18:51:34+00:00,2018-01-02T15:17:02Z,2018-01-02 15:17:02+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/231,26.85101851851852
cas,232,Special Topics: (Download All),bryantal,User,open,2017-12-06 18:53:03+00:00,2018-02-12T14:30:34Z,,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/232,
cas,233,Course Scheduling Timeline: (Move Location),bryantal,User,closed,2017-12-06 18:55:21+00:00,2018-02-28T14:44:37Z,2018-02-28 14:44:37+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/233,83.82587962962963
cas,234,Import: (Special Topics),bryantal,User,closed,2017-12-08 20:08:40+00:00,2018-06-12T20:45:32Z,2018-06-12 20:45:32+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/234,186.02560185185186
cas,235,Authorization: Never checking on login,bryantal,User,closed,2017-12-11 14:49:15+00:00,2017-12-11T15:44:58Z,2017-12-11 15:44:58+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/235,0.03869212962962963
cas,236,Authorization: Professor Access,bryantal,User,closed,2017-12-11 18:45:31+00:00,2018-01-11T14:51:02Z,2018-01-11 14:51:02+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/236,30.83716435185185
cas,237,Special Topics: (Delete),bryantal,User,closed,2017-12-12 15:01:31+00:00,2018-01-02T15:17:19Z,2018-01-02 15:17:19+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/237,21.01097222222222
cas,239,Change course capacity from 50 to 100,bryantal,User,closed,2018-01-24 15:49:56+00:00,2018-08-03T17:46:55Z,2018-08-03 17:46:55+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/239,191.08123842592593
cas,240,Drop down opens up,bryantal,User,closed,2018-01-25 19:52:13+00:00,2018-10-02T17:33:47Z,2018-10-02 17:33:47+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/240,249.90386574074074
cas,241,Editiing Deadlines give a method not found error,bryantal,User,closed,2018-01-25 20:23:27+00:00,2018-01-26T16:10:05Z,2018-01-26 16:10:05+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/241,0.8240509259259259
cas,242,Color Ratio in Select Term Modal,bryantal,User,closed,2018-02-06 19:41:15+00:00,2018-06-27T03:05:15Z,2018-06-27 03:05:15+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/242,140.30833333333334
cas,243,Deadline Edits:,bryantal,User,closed,2018-02-12 14:33:56+00:00,2018-02-13T15:07:52Z,2018-02-13 15:07:52+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/243,1.0235648148148149
cas,244,Prerequisite (Special Topics Only),bryantal,User,closed,2018-02-13 15:08:53+00:00,2018-02-13T15:55:30Z,2018-02-13 15:55:30+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/244,0.032372685185185185
cas,245,CrossListed (Add Instructors),bryantal,User,closed,2018-02-13 15:30:56+00:00,2018-02-13T15:57:40Z,2018-02-13 15:55:12+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/245,0.01685185185185185
cas,246,Workflow for Jolena after schedule and room assignments are complete,bryantal,User,closed,2018-02-16 20:29:19+00:00,2019-05-17T17:51:40Z,2019-02-04 17:44:23+00:00,6,https://github.com/BCStudentSoftwareDevTeam/cas/issues/246,352.88546296296295
cas,247,CAS Summer 2018 (Feature and Redesign),bryantal,User,closed,2018-02-28 14:51:56+00:00,2019-01-29T15:45:29Z,2019-01-29 15:45:29+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/247,335.0371875
cas,249,Future Course Table: Inaccessible,bryantal,User,closed,2018-03-05 16:58:58+00:00,2018-06-13T14:00:06Z,2018-06-13 14:00:05+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/249,99.87577546296296
cas,250,Color Contrast on System Management Page,bryantal,User,closed,2018-03-05 21:59:32+00:00,2019-05-24T18:21:13Z,2019-05-24 18:21:13+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/250,444.8483912037037
cas,251,Glyphicons not useful to screen reader,bryantal,User,open,2018-03-06 15:38:50+00:00,2019-02-04T17:46:32Z,,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/251,
cas,252,Create Course Feature Inaccessible,bryantal,User,closed,2018-03-09 16:30:22+00:00,2018-06-13T13:50:17Z,2018-06-13 13:50:17+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/252,95.88883101851852
cas,253,"#252: ""Administration button""",bryantal,User,closed,2018-06-13 14:38:49+00:00,2018-10-16T17:44:36Z,2018-10-16 17:44:36+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/253,125.1290162037037
cas,254,Alt- Text for Graphs,bryantal,User,open,2018-06-15 13:04:11+00:00,2019-01-29T15:53:19Z,,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/254,
cas,255,Typo in Remove Admin window,bryantal,User,closed,2018-06-22 13:40:22+00:00,2018-06-27T02:55:29Z,2018-06-27 02:55:29+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/255,4.552164351851852
cas,256,Warning for Occupied Room on Courses page,bryantal,User,open,2018-07-23 13:26:43+00:00,2021-06-09T18:30:23Z,,9,https://github.com/BCStudentSoftwareDevTeam/cas/issues/256,
cas,257,Course.prefix shouldnt be used,bryantal,User,open,2018-07-25 13:42:32+00:00,2019-01-29T16:01:54Z,,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/257,
cas,258,Room Resolutions UI,bryantal,User,closed,2018-08-03 13:31:27+00:00,2018-11-29T21:40:54Z,2018-11-29 21:40:54+00:00,8,https://github.com/BCStudentSoftwareDevTeam/cas/issues/258,118.33989583333333
cas,259,Row Resizing on roomResolution.html,bryantal,User,closed,2018-08-03 15:01:49+00:00,2018-10-15T19:13:53Z,2018-10-15 19:13:53+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/259,73.1750462962963
cas,260,UserManagement interface,bryantal,User,closed,2018-08-03 15:35:30+00:00,2018-10-15T22:52:03Z,2018-10-15 22:49:43+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/260,73.30153935185186
cas,261,userManagement interface,bryantal,User,closed,2018-08-03 15:43:54+00:00,2018-10-24T19:53:56Z,2018-10-24 19:53:46+00:00,7,https://github.com/BCStudentSoftwareDevTeam/cas/issues/261,82.17351851851852
cas,262,System Management Interface,bryantal,User,closed,2018-08-03 17:56:03+00:00,2019-01-31T15:38:47Z,2019-01-31 15:38:48+00:00,5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/262,180.9046875
cas,263,Issues about RoomPreference UI (hamza and jamal),bryantal,User,closed,2018-08-03 19:34:15+00:00,2018-08-14T19:20:05Z,2018-08-14 19:20:05+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/263,10.990162037037036
cas,264,Room Preference UI,bryantal,User,closed,2018-08-14 19:43:22+00:00,2018-10-02T17:23:04Z,2018-10-02 17:23:04+00:00,8,https://github.com/BCStudentSoftwareDevTeam/cas/issues/264,48.902569444444445
cas,265,Create Building Manager UI,bryantal,User,closed,2018-08-22 15:27:22+00:00,2019-01-30T16:14:49Z,2019-01-30 16:14:49+00:00,8,https://github.com/BCStudentSoftwareDevTeam/cas/issues/265,161.03295138888888
cas,266,Create/Update Redesigned Cross-Listed Course UI,bryantal,User,closed,2018-08-22 15:28:38+00:00,2019-05-24T18:16:17Z,2019-05-24 18:16:17+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/266,275.1164236111111
