repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
celts,427,Add past participants issue#255,solijonovam,User,closed,False,2022-07-11 15:28:03+00:00,2022-07-14T19:45:15Z,2022-07-14 19:45:05+00:00,2022-07-14 19:45:05+00:00,True,,,195,127,6,41,0,20,https://github.com/BCStudentSoftwareDevTeam/celts/pull/427,76.2838888888889,3.1784953703703707,False,True
celts,428,Remove and rename invitations column 412,thawpt,User,closed,False,2022-07-11 15:31:35+00:00,2023-05-10T14:36:43Z,2022-07-11 15:31:53+00:00,,False,,,5,5,2,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/428,,,True,False
celts,429,Changed wording on recurring slider,bledsoef,User,closed,False,2022-07-11 15:37:21+00:00,2022-07-11T18:50:07Z,2022-07-11 18:50:04+00:00,2022-07-11 18:50:04+00:00,True,,,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/429,3.2119444444444443,0.1338310185185185,False,True
celts,430,renamed email to invite and removed name of column,thawpt,User,closed,False,2022-07-11 15:41:46+00:00,2022-07-11T18:46:49Z,2022-07-11 18:45:10+00:00,2022-07-11 18:45:10+00:00,True,,,3,3,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/430,3.0566666666666666,0.12736111111111112,False,True
celts,432,hid service transcript from student staff,gahimbaref,User,closed,False,2022-07-11 17:54:13+00:00,2022-07-12T14:03:42Z,2022-07-12 14:03:39+00:00,2022-07-12 14:03:39+00:00,True,,,2,0,1,3,0,2,https://github.com/BCStudentSoftwareDevTeam/celts/pull/432,20.157222222222224,0.8398842592592594,False,True
celts,433,Add training purpose 394,mohamudm1,User,closed,False,2022-07-11 18:35:02+00:00,2023-05-10T14:36:32Z,2022-07-11 18:43:04+00:00,,False,,,432,423,2,13,1,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/433,,,True,False
celts,434,Found date inconsistencies and fixed them.,bledsoef,User,closed,False,2022-07-11 18:36:58+00:00,2022-07-13T19:03:29Z,2022-07-13 19:03:26+00:00,2022-07-13 19:03:26+00:00,True,,,5,12,4,7,1,8,https://github.com/BCStudentSoftwareDevTeam/celts/pull/434,48.44111111111111,2.0183796296296297,False,True
celts,435,add the event program field under the training and education tab,qasema,User,closed,False,2022-07-11 18:58:54+00:00,2022-07-12T13:31:20Z,2022-07-12 13:31:17+00:00,2022-07-12 13:31:17+00:00,True,,,9,1,1,3,0,1,https://github.com/BCStudentSoftwareDevTeam/celts/pull/435,18.539722222222224,0.772488425925926,False,True
celts,437,Handle Large Texts Across the Application,Lyisus,User,closed,False,2022-07-11 20:04:01+00:00,2022-07-19T18:17:24Z,2022-07-19 18:17:20+00:00,2022-07-19 18:17:20+00:00,True,,,10,9,4,6,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/437,190.22194444444443,7.925914351851851,False,True
celts,438,fix service transcript print to print only one page,qasema,User,closed,False,2022-07-11 20:56:11+00:00,2022-07-12T13:20:26Z,2022-07-12 13:20:19+00:00,2022-07-12 13:20:19+00:00,True,,,3,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/438,16.40222222222222,0.6834259259259259,False,True
celts,443,set time picker to default time 12 pm,qasema,User,closed,False,2022-07-12 14:04:51+00:00,2022-07-12T18:26:14Z,2022-07-12 18:26:10+00:00,2022-07-12 18:26:10+00:00,True,,,13,3,1,3,0,1,https://github.com/BCStudentSoftwareDevTeam/celts/pull/443,4.355277777777777,0.1814699074074074,False,True
celts,447,Changed the facilitators selector into a search bar,mohamudm1,User,closed,False,2022-07-12 18:39:27+00:00,2022-07-21T20:12:31Z,2022-07-21 20:12:25+00:00,2022-07-21 20:12:25+00:00,True,,,127,85,6,42,1,20,https://github.com/BCStudentSoftwareDevTeam/celts/pull/447,217.54944444444445,9.064560185185185,False,True
